reviewid,artist, popularity
21801,alarm will sound,20.0
21845,prince,72.0
21842,prince,72.0
21844,prince,72.0
21844,the revolution,27.0
21846,prince,72.0
21846,the new power generation,44.0
21841,prince,72.0
21841,the revolution,27.0
21866,prince,72.0
21843,prince,72.0
21847,prince,72.0
21847,the revolution,27.0
21715,wire,47.0
21839,dej loaf,68.0
21637,dlek,64.0
21781,horse lords,17.0
21743,brian eno,61.0
21806,ensemble dal niente,3.0
21806,deerhoof,39.0
21834,susanna,51.0
21825,audio push,31.0
21867,beyonc,87.0
21826,a$ap ferg,71.0
21838,cullen omori,20.0
21837,antwon,25.0
21833,andy stott,37.0
21797,etta james,70.0
21762,ulver,42.0
21717,kyle craft,22.0
21814,rogue wave,44.0
21694,john carpenter,48.0
21799,bill evans,62.0
21840,dj quik,54.0
21840,problem,13.0
21744,plants and animals,28.0
21714,jay reatard,34.0
21696,konono n1,22.0
21696,batida,70.0
21832,primitive weapons,2.0
21827,sorority noise,49.0
21808,guided by voices,47.0
21807,arthur russell,46.0
21792,cellars,5.0
21695,lawrence,56.0
21709,j dilla,57.0
21778,carlos nio & friends,30.0
21708,various artists,7.0
21809,various artists,7.0
21758,sturgill simpson,65.0
21791,lush,47.0
21699,dave harrington group,10.0
21831,toyomu,0.0
21822,deakin,19.0
21800,sam beam & jesca hoop,27.0
21733,bleached,36.0
21729,mr. lif,38.0
21824,tunji ige,34.0
21681,kevin morby,50.0
21680,colin stetson,45.0
21829,royce 59,56.0
21636,cate le bon,44.0
21703,tyler friedman,0.0
21703,samuel rohrer,13.0
21698,pj harvey,59.0
21749,xiu xiu,45.0
21697,eskimeaux,0.0
21742,ben watt,28.0
21780,peder mannerfelt,17.0
21755,metallica,83.0
21688,niki and the dove,59.0
21812,kweku collins,32.0
21716,greys,49.0
21732,youth code,27.0
21547,deftones,81.0
21562,kaitlyn aurelia smith,40.0
21811,into it. over it.,31.0
21770,gallant,50.0
21752,dinner,51.0
21769,m83,72.0
21690,dj rashad,33.0
21679,frightened rabbit,48.0
21803,k. michelle,49.0
21693,bombino,38.0
21597,parquet courts,47.0
21748,mogwai,54.0
21767,terrace martin,58.0
21594,tacocat,31.0
21704,"trd, grs och stenar",2.0
21635,tim hecker,46.0
21796,death grips,58.0
21750,woods,41.0
21805,twenty88,42.0
21587,flying saucer attack,19.0
21775,grimes,69.0
21766,ash koosha,8.0
21751,andrew bird,56.0
21728,teen suicide,52.0
21674,henry threadgill,12.0
21674,ensemble double-up,0.0
21756,dvsn,55.0
21768,yeasayer,41.0
21596,the last shadow puppets,59.0
21747,autolux,33.0
21776,bob mould,41.0
21628,the field,33.0
21627,leon vynehall,44.0
21576,pet shop boys,68.0
21633,tombs,11.0
21757,com truise,57.0
21765,frankie cosmos,55.0
21779,eric bachmann,14.0
21741,black milk & nat turner,41.0
21626,nisennenmondai,8.0
21777,glenn jones,44.0
21790,azealia banks,64.0
21763,charles bradley,60.0
21595,black mountain,36.0
21538,mike and the melvins,48.0
21537,the monochrome set,27.0
21593,weezer,74.0
21789,young thug,85.0
21551,bibio,52.0
21660,laura gibson,36.0
21710,elliphant,52.0
21764,zayn,78.0
21754,moderat,58.0
21788,ramriddlz,39.0
21629,japanese breakfast,61.0
21652,brad fiedel,42.0
21686,explosions in the sky,51.0
21761,rjd2,47.0
21740,domo genesis,57.0
21535,anthony braxton,19.0
21746,public memory,39.0
21656,larry levan,27.0
21685,cobalt,15.0
21625,studio ost,2.0
21702,babyfather,44.0
21641,masami akita & eiko ishibashi,53.0
21712,kamaiyah,51.0
21759,the thermals,37.0
21664,father,70.0
21745,margo price,50.0
21737,amnesia scanner,29.0
21518,vijay iyer,31.0
21518,wadada leo smith,21.0
21683,charli xcx,85.0
21738,baauer,54.0
21773,boosie badazz,65.0
21615,starchild & the new romantic,17.0
21707,ilovemakonnen,57.0
21550,the joy formidable,38.0
21730,lucius,55.0
21684,the body,35.0
21684,full of hell,40.0
21727,kiran leonard,11.0
21647,gwen stefani,75.0
21672,boris,63.0
21672,merzbow,29.0
21739,rolling blackouts coastal fever,41.0
21614,various artists,7.0
21617,open mike eagle & paul white,49.0
21591,bonnie prince billy,44.0
21591,bitchin bajas,24.0
21646,lust for youth,38.0
21692,the goon sax,20.0
21650,bent shapes,3.0
21640,gadget,17.0
21590,primal scream,53.0
21736,lil yachty,79.0
21605,hlos,26.0
21670,various artists,7.0
21753,chris forsyth and the solar motel band,49.0
21588,jeff buckley,71.0
21549,flatbush zombies,55.0
21666,the feelies,35.0
21632,lifetones,9.0
21606,ceramic tl,0.0
21509,underworld,59.0
21631,the body,35.0
21713,zelooperz,47.0
21630,horse jumper of love,44.0
21616,zach cooper,1.0
21731,sheer mag,33.0
21668,clark,42.0
21711,dj katapila,3.0
21658,fake boyfriend,0.0
21612,immix ensemble & vessel,49.0
21563,the range,18.0
21667,lpsley,52.0
21644,m. ward,48.0
