name, score
saul williams,40
lion babe,45
african head charge,30
sunflower bean,43
surgeon,28
benji hughes,35
sia,85
lee hazlewood,49
money,75
conrad keely,2
basement,60
bloc party,62
nevermen,22
roly porter,17
cian nugent,6
wet,57
tindersticks,48
this heat,27
charlie hilton,10
majical cloudz,40
shearwater,34
florist,51
pop. 1280,5
adrian younge,45
daz dillinger,47
chairlift,43
eleanor friedberger,17
suede,60
number girl,39
the high llamas,28
ty segall,48
tortoise,37
allan kingdom,44
fat white family,38
daughter,62
savages,30
albert ayler,28
the besnard lakes,18
lucrecia dalt,33
dust,67
kelela,54
timbaland,79
mila j,54
bloodiest,1
busta rhymes,72
7 year bitch,29
lil bibby,44
lycus,3
petal,26
wall,72
richie hawtin,39
witchcraft,42
cozz,50
lil b,87
fingers inc.,15
villagers,52
paper days,0
guy blakeslee,7
anderson .paak,77
julia brown,29
mood ii swing,46
coldair,1
dylan leblanc,41
jimi tents,20
craw,46
young marco,39
chief keef,77
willow,71
mikael tariverdiev,36
kyle hall,15
odd nosdam,30
ches smith,20
ennio morricone,66
hinds,46
august alsina,62
the soft pink truth,16
gag,94
pusha t,72
teenage jesus & the jerks,12
archy marshall,35
wiki,44
harmonia,29
the spook school,25
baroness,44
rick ross,77
pimp c,51
g-eazy,78
ema,50
gum,56
bing & ruth,35
deantoni parks,19
the velvet underground,63
jennylee,25
nadia reid,43
stephan mathieu,12
cassie ramone,10
laddio bolocko,11
coldplay,91
zora jones,25
lubomyr melnyk,26
sunn o))),32
pope francis,5
babyface,58
magic circle,10
diggs duke,26
sophie,49
jlin,26
jadakiss,64
junglepussy,37
goldlink,64
danny l harle,44
gloria ann taylor,28
the blue jean committee,18
foo fighters,77
beat happening,31
muja messiah,24
i self devine,6
paranoid london,27
john coltrane,66
doug hream blunt,22
punch brothers,43
the flaming lips,55
dj paypal,19
andr bratten,23
krieg,10
horrendous,22
adele,86
natalie prass,35
kneebody and daedelus,36
joey anderson,0
dragged into sunlight / gnaw their tongues,28
freddie gibbs,68
jaala,16
enya,73
en,73
shye ben tzur / jonny greenwood / the rajasthan express,30
six organs of admittance,35
lotic,74
andrew hung,10
cavanaugh,9
kode9,27
logic,74
f(x),54
kurt stenzel,13
justin bieber,90
jamie woon,44
anna von hausswolff,37
nef the pharaoh,45
wreckless eric,32
the pains of being pure at heart,42
alessia cara,75
cool uncle,0
jeff lynne's elo,43
escort,31
kurt cobain,51
le1f,24
talib kweli,55
9th wonder,55
john luther adams,18
pinkish black,11
rustie,32
puff daddy,71
kate boy,24
connan mockasin,51
devont hynes,42
corrections house,3
trust fund,67
white widows pact,0
oneohtrix point never,47
bjrk,64
pc worship,10
special request,34
the necks,19
amy winehouse,78
kirk knight,46
foxing,44
ellie goulding,80
carla morrison,72
julien baker,67
fuzz,37
joshua abrams,2
white out,0
ted hearne,6
boots,67
wolf eyes,15
laura stevenson,32
el vy,31
pictureplane,30
tropic of cancer,21
sun city girls,26
j.i.t.u. ahn-sahm-buhl,0
john renbourn,29
eartheater,50
basic soul unit,4
yautja,16
madlib,67
m.e.d.,2
christine and the queens,57
dave gahan,40
soulsavers,37
rabit,54
long beard,26
built to spill,49
vhl,59
luke vibert,34
philip jeck,11
martin courtney,22
shining,33
karamika,0
!!!,79
vanessa carlton,65
franoise hardy,59
g herbo,69
dan friel,2
the promise ring,33
gun outfit,9
wax idols,9
joanna newsom,37
dj firmeza,9
cult leader,23
beach house,74
yacht,79
raury,48
zombi,59
sexwitch,13
the edge of daybreak,23
kowloon walled city,23
neon indian,47
doughboyz cashout,38
milo,83
st germain,53
windhand,38
dj spinn,30
the mantles,10
mga,75
deerhunter,45
drive-by truckers,51
kylesa,33
clutch,54
cooly g,14
dilly dally,29
cara stacey,0
visionist,6
the decemberists,54
alex g,77
young dro,53
protomartyr,40
christian scott,38
shopping,22
donato dozzy,33
eagles of death metal,53
paul mccartney,72
ryan hemsworth,39
lucas,71
co la,2
wavves,44
autre ne veut,21
girl band,30
nicole dollanganger,48
larry gus,12
battles,34
childbirth,21
moscow club,0
deafheaven,49
big grams,31
jay rock,74
mercury rev,43
drew mcdowall,15
graveyard,44
doe paoro,43
the dead weather,45
peaches,47
wand,41
ron morelli,8
sarah kirkland snider,13
chvrches,62
casey veggies,55
the world is a beautiful place & i am no longer afraid to die,37
chevel,65
mariah,79
juicy j,74
t.i.,76
des ark,9
micachu and the shapes,24
u.s. girls,38
king midas sound,11
jawbox,31
destruction unit,10
kurt vile,54
new order,66
natasha kmeto,16
botany,31
lana del rey,91
the arcs,46
max richter,73
sam binga,35
donmonique,15
julia holter,37
the roadside graves,4
dit,40
youth lagoon,51
blackalicious,45
jens-uwe beyer,3
dope body,13
willis earl beal,25
corrina repp,23
akira sakata,3
chikamorachi,1
ought,28
metric,63
pole,30
air waves,11
low,55
dj richard,20
rose mcdowall,30
skylar spence,39
joan shelley,38
the isley brothers,62
phil cook,38
pwr bttm,30
fidlar,51
slayer,66
petite noir,30
telekinesis,40
mueller & roedelius,0
beirut,56
helen,48
lower,42
farao,42
cold beat,15
empress of,53
craig finn,34
savant,41
the libertines,55
unwound,43
widowspeak,44
the kitchen cinq,1
miley cyrus,83
panda bear,59
marrow,6
verbal kent,17
mike krol,41
destroyer,47
method man,68
all dogs,17
salad boys,8
christian rich,43
foals,63
daniel.t.,56
dead to a dying world,5
halsey,83
tamaryn,40
fake palms,2
idjut boys,19
yo la tengo,54
frog eyes,20
dornik,27
natural information society,15
myrkur,45
ghost,75
drinks,39
fuck the facts,14
gardens & villa,30
deradoorian,31
reatards,21
monk parker,3
the foreign exchange,38
glassine,0
fka twigs,70
the good life,26
jackson c. frank,46
ancient warfare,0
royal headache,33
berner,59
the jacka,47
advance base,27
f ingers,2
tunde olaniran,20
palehound,38
dave cloud & the gospel of power,41
gonno,11
afx,31
the black dog,40
guilty simpson,39
stern,2
retch,37
tink,60
mark lanegan,50
briana marela,24
zachary cale,6
pavement,59
aye nako,7
teen daze,38
azekel,43
dr. dre,81
lindi ortega,30
gangrene,35
blondes,50
lizzy mercier descloux,33
heathered pearls,22
team sleep,49
jessie jones,3
chelsea wolfe,50
eleventh dream day,13
hatchback,12
robyn,63
la bagatelle magique,15
night beds,29
joe plummer,0
donnacha costello,12
warren g,64
jill scott,58
slim twig,2
michael stasis,21
mac demarco,81
la luz,44
grave babies,8
trae tha truth,50
deiphago,5
health,59
omar souleyman,39
pearl charles,28
ultimate painting,31
mike cooper,15
the coneheads,2
deaf wish,3
bert jansch,39
teenage time killers,8
gunplay,47
albert hammond jr.,46
alessandro cortini,34
r. andrew lee,1
sweet cobra,5
julio bashmore,34
lianne la havas,56
adult mom,32
ricked wicky,3
public enemy,57
lamb of god,64
illfightyou,11
dj roc,23
ms mr,41
gwenno,31
earthly,2
watkins family hour,26
l'orange,39
mario diaz de leon,3
j fernandez,55
locrian,15
tearjerker,10
spraynard,22
strange wilds,1
sly and the family stone,58
mas ysa,14
ashley monroe,50
white reaper,41
snooty garbagemen,0
wavves x cloud nothings,44
ducktails,31
fox millions duo,0
bad bad hats,38
sassyblack,2
ratatat,66
years & years,71
seven davis jr.,27
ty money,0
the chemical brothers,64
ben bridwell,38
iron & wine,64
container,15
self defense family,20
jason isbell,60
the alchemist,73
nadastrom,8
tame impala,81
veruca salt,47
karin krog,25
negative scanner,3
peacers,3
envy,27
duke ellington,59
the internet,61
the velvet teen,18
creepoid,22
the tough alliance,22
statik selektah,50
beatking,46
flesh world,1
ghostface killah & adrian younge,64
rp boo,17
ecstatic vision,13
ezra furman,45
lee bannon,13
four tet,63
matrixxman,26
heather woods broderick,26
active child,39
miguel,82
class actress,45
tyga,79
failure,44
wolf alice,60
lucki eck$,31
bilal,65
london o'connor,13
kronos quartet,50
mutoid man,32
thundercat,71
main attrakionz,42
blawan,31
everything everything,51
the armed,36
refused,54
bully,43
smokey,55
dave douglas,25
leon bridges,74
richard thompson,42
mewithoutyou,44
t. hardy morris,21
the national,65
son lux,51
nate ruess,68
bomba estreo,72
desaparecidos,31
"s. araw ""trio"" xi",0
hunee,29
flo morrissey,36
tenement,15
jaakko eino kalevi,36
meg baird,19
giorgio moroder,61
false,28
robert glasper trio,22
evan caminiti,4
fucked up,33
nick diamonds,14
klsch,5
namie amuro,45
dj koze,52
high on fire,40
vattnet viskar,3
princess chelsea,54
ken mode,23
mates of state,32
sarah cracknell,20
helm,51
ffs,74
galcher lustwerk,36
ryn weaver,48
sharon van etten,59
heartless bastards,45
moritz von oswald trio,14
pins,75
bruce brubaker,41
faith no more,62
institute,36
jason derulo,78
sweet john bloom,0
muse,76
sightings,3
insect ark,17
stellar om source,2
prinzhorn dance school,14
nicolay,24
donnie trumpet & the social experiment,45
girlpool,38
goatsnake,25
the mothmen,1
time wharp,16
christopher owens,29
eternal summers,14
akitsa,18
rachel grimes,33
the deslondes,46
major lazer,76
in camera,6
zhala,22
florence and the machine,79
daughn gibson,13
nozinja,3
amir alexander,17
jamie xx,65
algiers,26
soak,45
drainolith,0
obsequiae,26
a$ap rocky,86
the vaccines,55
strategy,49
kosmo kat,0
valet,69
cloud rat,23
two sheds,1
murs,47
shana cleveland & the sandcastles,28
unknown mortal orchestra,59
dr. yen lo,22
tropical trash,1
crosss,52
tanlines,25
smurphy,0
kid606,21
onra,44
holly herndon,23
du blonde,33
zedd,75
holly miranda,25
hot chip,52
lakker,14
brandon flowers,51
ceremony,37
shilpa ray,29
joanna gruesome,17
cecil taylor,21
vito ricci,11
shamir,29
circuit des yeux,33
loren connors,27
ben khan,26
noisem,5
jupiter jax,11
charles cohen,2
crocodiles,25
prurient,24
prefuse 73,34
bankroll fresh,48
gacha,77
john moreland,48
blanck mass,28
palma violets,27
tyondai braxton,9
boof,51
icky blossoms,25
elvis depressedly,35
coliseum,15
the tallest man on earth,51
surfer blood,31
juan wauters,33
david kauffman,20
eric caboor,16
kamasi washington,55
downtown boys,15
ciara,71
michael angelo,28
beatriz ferreyra,6
mikal cronin,24
torres,45
mumford & sons,75
metz,31
psychic reality,1
best coast,44
red house painters,44
kehlani,76
nosaj thing,43
turnover,56
todd rundgren/emil nikolaisen/hans-peter lindstrm,55
the weather station,46
jazz cartier,44
django django,42
turn to crime,0
george fitzgerald,51
nai harvest,16
mew,44
oddisee,50
home blitz,2
nadine shah,34
my morning jacket,56
braids,29
